Model,Subject,BLEU,METEOR,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,IT,0.2272179511000928,0.4043825032252249,0.5114503816793893,0.4240506329113924,0.46366781511284594,0.2193877551020408,0.19282511210762332,0.20525059167947338,0.4580152671755725,0.379746835443038,0.41522490853845145
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,AI,0.2971699551122152,0.5460640138408305,0.4888888888888889,0.5116279069767442,0.49999999500258274,0.23076923076923078,0.2608695652173913,0.24489795420241578,0.4666666666666667,0.4883720930232558,0.4772727222753099
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,football,0.11444031835034607,0.35864715734240427,0.573170731707317,0.373015873015873,0.45192307214681954,0.2396694214876033,0.1695906432748538,0.19863013213290498,0.524390243902439,0.3412698412698413,0.4134615336852811
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,hangfajl_rendes_leirat,0.03684439777442152,0.16537940716625324,0.6444444444444445,0.2248062015503876,0.3333333294986128,0.2982456140350877,0.10119047619047619,0.1511111073280001,0.6222222222222222,0.21705426356589147,0.3218390766250496
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,hangfajl_beast_leirat,0.000376542456430427,0.15791910969242556,0.4745762711864407,0.19047619047619047,0.27184465610660763,0.15384615384615385,0.06060606060606061,0.0869565176843102,0.4406779661016949,0.17687074829931973,0.2524271803784523
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,hangfajl_whisper_leirat,0.050126913254865776,0.18635475797248865,0.4098360655737705,0.22522522522522523,0.2906976698411304,0.14102564102564102,0.08029197080291971,0.1023255767718769,0.3442622950819672,0.1891891891891892,0.24418604193415366
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,hangfajl_whisper_leirat_2,0.08948111334008547,0.21159461395528115,0.3333333333333333,0.20812182741116753,0.25624999526738285,0.11834319526627218,0.07407407407407407,0.09111616838538637,0.3008130081300813,0.18781725888324874,0.23124999526738294
Hacker-News-Comments-Summarization-Llama-3.1-8B-Instruct.i1-Q4_K_M,hangfajl_beast_leirat_2,0.03979365859143867,0.19484220209892464,0.39436619718309857,0.17721518987341772,0.24454148043782542,0.13829787234042554,0.06403940886699508,0.08754208321554512,0.38028169014084506,0.17088607594936708,0.23580785598367696
