Model,Subject,BLEU,METEOR,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
SummLlama3.2-3B-Q4_K_M,AI,0.11814288567844673,0.5095759684711403,0.3116883116883117,0.5581395348837209,0.3999999954013889,0.0967741935483871,0.1956521739130435,0.12949639844935576,0.2857142857142857,0.5116279069767442,0.36666666206805554
SummLlama3.2-3B-Q4_K_M,football,0.21625492315582986,0.4203641726012856,0.5806451612903226,0.42857142857142855,0.4931506800450367,0.2706766917293233,0.21052631578947367,0.23684210034128297,0.5483870967741935,0.40476190476190477,0.465753419771064
SummLlama3.2-3B-Q4_K_M,IT,0.1600025745127374,0.3803807616586922,0.5423728813559322,0.4050632911392405,0.4637681110470489,0.19672131147540983,0.16143497757847533,0.17733989652636573,0.5,0.37341772151898733,0.42753622698907795
SummLlama3.2-3B-Q4_K_M,hangfajl_rendes_leirat,0.06678381715190652,0.21126507459253419,0.5555555555555556,0.23255813953488372,0.3278688482988445,0.26666666666666666,0.11904761904761904,0.16460904923030037,0.5370370370370371,0.2248062015503876,0.31693988655021055
SummLlama3.2-3B-Q4_K_M,hangfajl_beast_leirat,0.05503497965602046,0.2020406777861048,0.5342465753424658,0.2653061224489796,0.3545454501111571,0.14,0.0707070707070707,0.09395972708436579,0.4794520547945205,0.23809523809523808,0.3181818137475207
SummLlama3.2-3B-Q4_K_M,hangfajl_whisper_leirat,0.06576469138485166,0.2729228322519923,0.45588235294117646,0.27927927927927926,0.34636871037233546,0.14583333333333334,0.10218978102189781,0.12017166897456226,0.4264705882352941,0.26126126126126126,0.3240223416572517
