Model,Subject,BLEU,METEOR,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
Llama-3.2-1B-Instruct-Q4_K_M,IT,0.13991148267086845,0.3267288698418847,0.5454545454545454,0.34177215189873417,0.4202334582985359,0.20279720279720279,0.13004484304932734,0.15846994059407582,0.5151515151515151,0.3227848101265823,0.3968871547965905
Llama-3.2-1B-Instruct-Q4_K_M,football,0.14233922720916017,0.3035704396020649,0.7361111111111112,0.42063492063492064,0.5353535307254362,0.375,0.21052631578947367,0.26966291674283555,0.6666666666666666,0.38095238095238093,0.4848484802203858
Llama-3.2-1B-Instruct-Q4_K_M,AI,0.22341094249350807,0.522833262350937,0.38181818181818183,0.4883720930232558,0.42857142364639733,0.2033898305084746,0.2608695652173913,0.22857142364807267,0.32727272727272727,0.4186046511627907,0.36734693385047906
Llama-3.2-1B-Instruct-Q4_K_M,hangfajl_rendes_leirat,0.06338606375517021,0.27529490846052856,0.38461538461538464,0.2713178294573643,0.31818181333099177,0.11016949152542373,0.07738095238095238,0.0909090860619104,0.3516483516483517,0.24806201550387597,0.2909090860582645
Llama-3.2-1B-Instruct-Q4_K_M,hangfajl_whisper_leirat,0.033193856299100336,0.1611222214510056,0.3333333333333333,0.12612612612612611,0.18300653196462907,0.10344827586206896,0.043795620437956206,0.06153845735910615,0.30952380952380953,0.11711711711711711,0.16993463653979246
Llama-3.2-1B-Instruct-Q4_K_M,hangfajl_beast_leirat,0.05159246591148057,0.1945820307294947,0.3424657534246575,0.17006802721088435,0.22727272283842978,0.11458333333333333,0.05555555555555555,0.07482992757462194,0.3287671232876712,0.16326530612244897,0.21818181374752074
Llama-3.2-1B-Instruct-Q4_K_M,hangfajl_whisper_leirat_2,1.5768916479912786e-155,0.046689303904923596,0.3,0.015228426395939087,0.028985506326868804,0.08333333333333333,0.003703703703703704,0.0070921977667120295,0.3,0.015228426395939087,0.028985506326868804
Llama-3.2-1B-Instruct-Q4_K_M,hangfajl_beast_leirat_2,5.675730525286278e-79,0.12870012870012873,0.2833333333333333,0.10759493670886076,0.15596329876273052,0.05063291139240506,0.019704433497536946,0.028368790292993887,0.23333333333333334,0.08860759493670886,0.12844036298291403
